observacion_id,fecha,ciudad,estacion_id,temp_max,temp_min,temp_media,precipitacion_mm,humedad_pct,velocidad_viento_kmh,condicion_climatica
9047,2024-10-04,Barcelona,5,17.7,7.1,12.4,9.3,90,67.3,Viento fuerte
9625,2021-05-04,Valencia,6,22.2,12.6,17.4,3.1,83,74.1,Parcialmente nublado
9991,2022-05-05,Valencia,6,26.5,13.9,20.2,6.4,57,32.6,Nieve
302,2020-10-28,Granada,1,18.7,9.8,14.2,2.9,82,53.8,Lluvia ligera
183,2020-07-01,Granada,1,31.7,21.5,26.6,4.3,64,64.1,Nieve
12422,2023-12-30,Bilbao,7,10.3,0.7,5.5,0,65,67.9,Tormenta
2535,2021-12-08,Sevilla,2,18.4,5.6,12.0,1.2,61,5.3,Nublado
88,2020-03-28,Granada,1,10.7,-1.4,4.6,0.6,49,39.6,Despejado
6568,2022-12-22,Madrid,4,8.6,-0.9,3.8,0,95,74.5,Niebla
399,2021-02-02,Granada,1,17.3,8.3,12.8,0.3,58,51.2,Nublado
12615,2024-07-10,Bilbao,7,30.4,20.7,25.5,1.2,71,5.7,Lluvia fuerte
7054,2024-04-21,Madrid,4,12.2,2.3,7.2,0.1,38,48.6,Nublado
7273,2024-11-26,Madrid,4,11.1,0.2,5.6,7.5,93,14.2,Tormenta
4004,2020-12-15,Málaga,3,14.3,4.4,9.4,0,95,15.7,Viento fuerte
7501,2020-07-11,Barcelona,5,30.5,18.8,24.6,3.2,95,3.7,Despejado
350,2020-12-15,Granada,1,14.1,2.1,8.1,13.4,70,10.6,Nieve
13723,2022-07-22,Zaragoza,8,29.1,19.5,24.3,5.0,89,20.9,Despejado
5428,2024-11-08,Málaga,3,22.4,12.9,17.6,4.9,52,58.9,Tormenta
7497,2020-07-07,Barcelona,5,32.5,20.0,26.2,0.4,43,62.1,Tormenta
9314,2020-06-27,Valencia,6,32.6,21.4,27.0,0,72,66.8,Lluvia fuerte
8305,2022-09-23,BARCELONA,5,22.5,14.0,18.2,4.9,33,73.9,Lluvia ligera
11483,2021-06-04,Bilbao,7,19.1,12.3,15.7,3.1,77,36.4,Despejado
10207,2022-12-07,Valencia,6,19.4,9.8,14.6,1.1,52,19.8,Nieve
9308,2020-06-21,Valencia,6,25.3,14.7,20.0,2.2,89,74.8,Parcialmente nublado
1642,2024-06-29,Granada,1,26.1,15.5,20.8,7.7,56,45.7,Lluvia ligera
3418,2024-05-09,Sevilla,2,25.4,15.0,20.2,0,40,11.2,Lluvia ligera
13986,2023-04-11,Zaragoza,8,16.6,6.5,11.6,0,47,62.6,Lluvia ligera
11750,2022-02-26,Bilbao,7,18.6,9.1,13.9,0.5,57,38.9,Tormenta
17076,2021-09-24,Almería,10,27.1,17.4,22.2,5.1,75,52.8,Parcialmente nublado
8609,2023-07-24,Barcelona,5,32.0,24.6,28.3,0,40,3.7,Parcialmente nublado
14251,2024-01-01,Zaragoza,8,11.9,1.0,6.5,4.9,94,6.5,Viento fuerte
10148,2022-10-09,Valencia,6,28.1,18.7,23.4,3.1,40,50.9,Nublado
8790,2024-01-21,Barcelona,5,13.3,5.3,9.3,2.0,31,78.0,Lluvia fuerte
9902,2022-02-05,Valencia,6,14.7,3.4,9.0,2.6,86,69.8,Despejado
10742,2024-05-25,Valencia,6,25.4,14.0,19.7,2.7,85,5.0,Nieve
2056,2020-08-16,Sevilla,2,36.3,24.9,30.6,1.0,55,68.6,Lluvia ligera
8025,2021-12-17,Barcelona,5,15.4,4.7,10.1,9.3,54,13.2,Nieve
10504,2023-09-30,Valencia,6,24.9,17.6,21.2,4.6,51,65.3,Despejado
10319,2023-03-29,Valencia,6,17.0,10.6,13.8,0,34,5.0,Lluvia ligera
17679,2023-05-20,Almería,10,29.0,17.1,23.1,3.4,83,57.1,Lluvia ligera
13084,2020-10-21,Zaragoza,8,19.8,10.5,15.2,0.7,80,61.0,Nieve
8080,2022-02-10,Barcelona,5,11.6,0.9,6.2,8.9,61,39.4,Tormenta
13411,2021-09-13,Zaragoza,8,32.3,22.1,27.2,0,68,15.3,Nublado
9879,2022-01-13,Valencia,6,12.7,1.9,7.3,2.3,83,34.7,Niebla
9430,2020-10-21,Valencia,6,24.9,11.7,18.3,6.1,73,37.9,Nieve
7078,2024-05-15,Madrid,4,20.0,11.4,15.7,0.2,55,72.5,Nieve
15841,2023-05-09,Murcia,9,19.0,8.3,13.7,0,55,48.7,Parcialmente nublado
11676,2021-12-14,Bilbao,7,17.9,6.0,11.9,0.0,35,36.0,Nublado
17546,2023-01-07,Almería,10,15.6,5.6,10.6,10.6,78,34.1,Parcialmente nublado
16868,2021-02-28,Almería,10,21.4,12.2,16.8,1.0,94,35.7,Viento fuerte
9639,2021-05-18,Valencia,6,25.2,14.5,19.9,1.4,60,11.5,Parcialmente nublado
11241,2020-10-05,Bilbao,7,18.8,9.8,14.3,11.8,88,47.3,Niebla
15168,2021-07-05,Murcia,9,33.8,24.1,28.9,0.7,77,9.9,Niebla
1164,2023-03-09,Granada,1,11.8,2.1,7.0,6.6,56,17.5,Lluvia fuerte
10320,2023-03-30,Valencia,6,17.7,10.0,13.8,0.7,37,76.3,Nublado
1904,2020-03-17,Sevilla,2,16.7,5.8,11.2,0,69,44.2,Viento fuerte
4237,2021-08-05,Málaga,3,34.5,23.4,28.9,6.3,95,18.8,Parcialmente nublado
6376,2022-06-13,Madrid,4,25.6,15.7,20.6,0,81,12.5,Viento fuerte
818,2022-03-28,Granada,1,15.1,7.3,11.2,1.2,66,61.6,Despejado
